Subject,grid_id,pattern_id,click_id,positionx,positiony,underlying_LSC,underlying_intricacy,current_LSC,current_intricacy,avg_LSC,avg_intricacy,current_change_in_LSC,current_change_in_intricacy,avg_change_in_LSC,avg_change_in_intricacy,time_taken,change_in_pos,clicks_to_go,move_on
2,22,14,41,13,17,0.9806767876398864,110,0.0586295096312958,0.4000000000000057,0.0276155413319341,-1.378048780487804,0.0012412685405434,-0.3999999999999915,0.0014657377407823,0.0100000000000001,1,5.0,0,1
2,23,13,48,23,20,0.9748770128126518,94,0.1455912814269924,23.200000000000003,0.0659067088263302,9.55,0.0030254317857288,-0.6999999999999957,0.0030976868388721,0.4936170212765958,0,2.0,0,1
2,24,10,81,23,17,0.6866368918045108,27,-0.1389288073138741,-69.4,-0.0819575418520277,-37.5,0.0013135814680502,0.7999999999999972,-0.0017366100914234,-0.8675,0,2.23606797749979,0,0
2,25,9,35,21,21,0.3771255990705298,66,-0.0536851657884934,26.1,-0.0438943176544704,8.725714285714284,-0.0037656432635243,8.700000000000003,-0.0015789754643674,0.7676470588235295,1,5.656854249492381,0,1
2,26,11,27,19,25,0.8493127920205841,66,0.0414203517303614,-1.1000000000000014,0.0240576309398353,-0.5259259259259258,0.004152990625821,0.5,0.0015930904511677,-0.0423076923076923,1,2.0,0,1
2,27,12,28,12,4,0.920072061255325,86,0.0280028723686722,5.5,0.0168211322169313,1.957142857142857,0.0019641644227809,0.7999999999999972,0.0010371434210619,0.2037037037037037,1,8.602325267042627,0,1
2,28,8,30,19,14,0.1503843675749793,26,-0.1809769450161252,-61.3,-0.103629675378301,-36.1,-0.012460637307828,-4.0,-0.0062405843109008,-2.113793103448276,0,9.899494936611664,0,1
2,29,77,31,16,16,0.9804606443733836,118,0.1341198082099941,15.0,0.0620573601033569,11.66451612903226,0.0060312136158972,1.4000000000000057,0.0044706602736664,0.5,0,2.8284271247461903,0,1
2,30,73,40,24,1,0.586131803873728,40,-0.0205050139542084,-15.6,-0.0134550276173661,-9.45,0.001788477095394,-0.3000000000000042,-0.0005257695885694,-0.4,0,6.082762530298219,0,1
2,31,74,54,9,4,0.8134343165694118,62,0.0589990735677657,-37.5,0.026473807379038,-20.61296296296296,0.0018707525874208,-0.5,0.0011131900673163,-0.7075471698113207,1,6.708203932499369,0,1
2,32,71,22,21,24,0.1902742785833433,15,-0.1546571796058996,-31.3,-0.0750397024463954,-15.54090909090909,-0.007930012911393,-1.3999999999999986,-0.0073646276002809,-1.4904761904761905,0,5.656854249492381,0,1
2,33,75,37,14,4,0.916858816679865,28,0.1235211812091532,-2.200000000000003,0.0686341438124815,-0.581081081081081,0.0027785004318791,0.5,0.0034311439224764,-0.0611111111111111,1,8.602325267042627,0,1
2,34,76,21,21,18,0.9633856455933564,64,0.0782481945157028,4.700000000000003,0.0369970800019071,2.2,0.0040366093113587,0.6000000000000014,0.0039124097257851,0.2350000000000001,0,6.708203932499369,0,1
2,35,72,30,20,12,0.347287799177756,2,-0.0372798066427555,-13.0,-0.0178439919257496,-7.779999999999999,0.0012857354474431,0.1000000000000014,-0.0012855105738881,-0.4482758620689655,0,4.47213595499958,0,1
2,36,17,27,16,11,0.7874133673117215,47,0.0389604038908764,-0.7000000000000028,0.0229807483338418,2.6,0.0031563159696784,0.5,0.001498477072726,-0.026923076923077,1,3.1622776601683795,0,1
2,37,19,34,25,4,0.846994161972378,84,0.0400950055652433,1.4000000000000057,0.0240379674052344,-0.7088235294117649,0.0018684521478382,0.7000000000000028,0.0012150001686437,0.0424242424242425,1,7.0,0,1
